season,week,franchise_name,offense_points,defense_points,potential_points,composite,adjusted_all_play,actual_all_play,expected_all_play,k,elo
2026,0,Arizona Cardinals,,,,,,,,,1506.93137027439
2026,0,Atlanta Falcons,,,,,,,,,1358.18848923711
2026,0,Baltimore Ravens,,,,,,,,,1494.43096191218
2026,0,Buffalo Bills,,,,,,,,,1541.31710558316
2026,0,Carolina Panthers,,,,,,,,,1500.53707684213
2026,0,Chicago Bears,,,,,,,,,1612.9834017448
2026,0,Cincinnati Bengals,,,,,,,,,1431.73829460246
2026,0,Cleveland Browns,,,,,,,,,1478.45049607044
2026,0,Dallas Cowboys,,,,,,,,,1528.63178266122
2026,0,Denver Broncos,,,,,,,,,1429.20562556318
2026,0,Detroit Lions,,,,,,,,,1441.00215433092
2026,0,Green Bay Packers,,,,,,,,,1456.95781494063
2026,0,Houston Texans,,,,,,,,,1552.9238402833
2026,0,Indianapolis Colts,,,,,,,,,1553.87858634093
2026,0,Jacksonville Jaguars,,,,,,,,,1525.22064379247
2026,0,Kansas City Chiefs,,,,,,,,,1475.9768910021
2026,0,Las Vegas Raiders,,,,,,,,,1556.81652320147
2026,0,Los Angeles Chargers,,,,,,,,,1469.28878389188
2026,0,Los Angeles Rams,,,,,,,,,1490.40751463423
2026,0,Miami Dolphins,,,,,,,,,1592.48305911941
2026,0,Minnesota Vikings,,,,,,,,,1481.82051818102
2026,0,New England Patriots,,,,,,,,,1501.37301062797
2026,0,New Orleans Saints,,,,,,,,,1507.22361222148
2026,0,New York Giants,,,,,,,,,1574.9614250943
2026,0,New York Jets,,,,,,,,,1483.94569299415
2026,0,Philadelphia Eagles,,,,,,,,,1552.81738941371
2026,0,Pittsburgh Steelers,,,,,,,,,1411.32595210201
2026,0,San Francisco 49ers,,,,,,,,,1535.52151980331
2026,0,Seattle Seahawks,,,,,,,,,1426.31626630641
2026,0,Tampa Bay Buccaneers,,,,,,,,,1511.12226417743
2026,0,Tennessee Titans,,,,,,,,,1512.21231742403
2026,0,Washington Commanders,,,,,,,,,1503.98961562576
2026,1,Arizona Cardinals,118.9,72.2,243.3,128.08910621586,9,11,15.80616002861041,2.240249197,1491.68387570786
2026,1,Atlanta Falcons,62.4,82.3,231.7,108.97203522371998,2,1,9.43060288145892,2.240249197,1341.54208707805
2026,1,Baltimore Ravens,98.2,166.8,336.6,180.34418979676,31,31,15.243975108883232,2.240249197,1529.72838403119
2026,1,Buffalo Bills,100.9,78.9,277.9,132.11730225780002,11,8,17.34493252995528,2.240249197,1527.10287561926
2026,1,Carolina Panthers,126.8,84.6,292,147.09188605228,24,19,15.518589437774684,2.240249197,1519.5375500594
2026,1,Chicago Bears,114.8,112.1,322.8,160.93576233849998,28,26,20.4170437710594,2.240249197,1629.97111337091
2026,1,Cincinnati Bengals,128.9,79.7,280.40000000000003,143.22316683890003,20,16,12.461282454864095,2.240249197,1448.62690056787
2026,1,Cleveland Browns,98.2,96.4,242.2,130.16840293180002,10,12,14.526420035442062,2.240249197,1468.31018721355
2026,1,Dallas Cowboys,105.3,104,289,146.48858002108,21,17,16.77964965832575,2.240249197,1538.08641915906
2026,1,Denver Broncos,119.1,97.5,242.1,138.2168970546,14,22,12.351579450150885,2.240249197,1432.89849841849
2026,1,Detroit Lions,95.9,91.1,205.3,118.78597080276,6,10,12.86496396102445,2.240249197,1425.6229242972
2026,1,Green Bay Packers,81.8,93.3,286.40000000000003,132.95999818554,12,6,13.567988819099854,2.240249197,1453.44512925349
2026,1,Houston Texans,113.5,108.7,237,139.5881549321,15,25,17.858247501618077,2.240249197,1546.52065358493
2026,1,Indianapolis Colts,101.2,103.6,281.5,143.12675008762,19,14.5,17.900272526673806,2.240249197,1556.34224989629
2026,1,Jacksonville Jaguars,138.1,66.7,257.1,135.9802783232,13,14.5,16.627051813908817,2.240249197,1517.09514389959
2026,1,Kansas City Chiefs,108.2,104.2,301.8,150.53479086864002,25,20,14.415627426734014,2.240249197,1499.6885231598
2026,1,Las Vegas Raiders,100.1,153.6,288.7,164.77057718914,29,30,18.029382619566565,2.240249197,1581.39343995872
2026,1,Los Angeles Chargers,38.6,87.8,225,101.01569963656,0,0,14.11661572391704,2.240249197,1437.66404686265
2026,1,Los Angeles Rams,110.5,131.3,313.4,165.07014893926,30,29,15.063101887612683,2.240249197,1523.86988867292
2026,1,Miami Dolphins,96.9,139.5,280.9,156.0765485282,27,28,19.566034045759036,2.240249197,1609.13699536763
2026,1,Minnesota Vikings,46.3,134.2,223.5,122.42354514518,7,9,14.6775111958435,2.240249197,1464.62097987123
2026,1,New England Patriots,96.5,106.7,269.7,139.99823733988,16,13,15.5561878846638,2.240249197,1502.36726040035
2026,1,New Orleans Saints,90,87.5,239.8,122.99987570602,8,7,15.819300031627936,2.240249197,1489.70643158208
2026,1,New York Giants,109.1,109.4,257,142.81132659175998,18,23.5,18.81890539585838,2.240249197,1573.12687292964
2026,1,New York Jets,77.3,78.2,198.2,105.12440268656,1,2,14.772868209958714,2.240249197,1453.09103604682
2026,1,Philadelphia Eagles,92.4,120.3,282.90000000000003,147.05224060860002,23,21,17.853559834993124,2.240249197,1564.34669781989
2026,1,Pittsburgh Steelers,66.1,102.9,209.5,113.68853397996,3,5,11.586253151857656,2.240249197,1392.09060536349
2026,1,San Francisco 49ers,68.4,141.9,262.5,142.48359092484,17,18,17.087145747353677,2.240249197,1535.32629163232
2026,1,Seattle Seahawks,114.8,52.6,233.6,116.39026728892,4,4,12.226795688428956,2.240249197,1407.88619384177
2026,1,Tampa Bay Buccaneers,103.9,125.9,253.5,146.85527480904,22,27,15.994549030655511,2.240249197,1524.57597087117
2026,1,Tennessee Titans,83.8,83.5,235.7,118.17482957676,5,3,16.04352986347381,2.240249197,1487.47205847251
2026,1,Washington Commanders,115.3,103.2,300.3,152.37529205290002,26,23.5,15.673872282845874,2.240249197,1527.12271498985
2026,2,Arizona Cardinals,92.9,90.1,273.3,132.72683756016,15,13,15.120850841817964,0.5902384748,1491.61254488477
2026,2,Atlanta Falcons,57.8,129.4,250.7,130.83549080806,12,14,8.840563016701513,0.5902384748,1343.40690833968
2026,2,Baltimore Ravens,76.3,118.4,289.3,141.85850262230002,22,16,16.81631844869808,0.5902384748,1532.78799232599
2026,2,Buffalo Bills,69,76.9,254.4,114.33006897586,5,3,16.699795509613665,0.5902384748,1520.19720617171
2026,2,Carolina Panthers,117.8,96.6,280.2,146.02812289256,23,23,16.363397186652847,0.5902384748,1523.45472838562
2026,2,Chicago Bears,131.79999999999998,116.1,301.4,163.90836282133998,29,29,21.06169518609682,0.5902384748,1634.65660630224
2026,2,Cincinnati Bengals,31.4,121,219.3,110.64750585906,3,5,13.214485888584944,0.5902384748,1442.59791800515
2026,2,Cleveland Browns,58.5,149.7,256,140.5808311157,21,20,14.081188307404153,0.5902384748,1472.39393607288
