conference,franchise,franchise_name,player,prev_salary,prev_years,ext_years,week,player_id,player_name,player_team,player_pos,roster_status,player_headshot,player_birth_date,player_jersey,player_rookie_season,player_draft_year,player_draft_round,player_draft_round_pick,player_draft_pick,team_logo_espn,team_logo_wikipedia,team_logo_squared,team_wordmark,team_color,team_color2,contract,ext_marker,fifth_year_option,eligibility_note,fifth_year_option_available,fifth_year_option_ineligible,fifth_year_option_ineligible_reason,fifth_year_draft_qualified,fifth_year_original_rookie_contract,fifth_year_position_eligible,has_exercised_5yo,fifth_year_option_salary,fifth_year_tag_level,fifth_year_tsp_pos,fifth_year_tsp_rank,fifth_year_tsp_points,fifth_year_starts,fifth_year_draft_year,fifth_year_draft_round,fifth_year_draft_pick,fifth_year_draft_overall,rookie_contract_type,max_rookie_remaining_years,rookie_signed_less_than_max,ext_window,contract_tool,ext_cooldown_ineligible,next_eligible_ext_year,next_eligible_ext_type,robust_pr_count,pr_current_pos,pr_current_total,pr_current_avg,pr_current_final,pr_recent_pos,pr_recent_total,pr_recent_avg,pr_recent_final,pr_previous_pos,pr_previous_total,pr_previous_avg,pr_previous_final,pr_current_season_local,pr_current_pos_local,pr_current_total_local,pr_current_avg_local,pr_current_final_local,pr_current_gp_local,pr_current_robust_local,pr_recent_season_local,pr_recent_pos_local,pr_recent_total_local,pr_recent_avg_local,pr_recent_final_local,pr_recent_gp_local,pr_previous_season_local,pr_previous_pos_local,pr_previous_total_local,pr_previous_avg_local,pr_previous_final_local,pr_previous_gp_local,epv_current,epv_recent,epv_previous,eys,new_salary,new_years
AFC,BAL,Baltimore Ravens,"Addison, Jordan MIN WR",5.45,1,3,0,16186,"Addison, Jordan",MIN,WR,Active,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s2ey8g5memyqvxc52uzy",2002-01-27,3,2023,2023,1,23,23,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/MIN.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/MIN.png,#4F2683,#FFC62F,2023 1.06,NA,NA,Likely EXT eligible,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE,29.7,5YO-,WR,NA,NA,NA,NA,NA,NA,NA,Drafted rookie,1,FALSE,iEXT,NA,FALSE,NA,NA,3,NA,NA,NA,NA,WR,39,38,38,WR,17,19,17,NA,NA,NA,NA,NA,NA,NA,2025,WR,39,38,38,13,2024,WR,17,19,17,14,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Aiyuk, Brandon SFO WR",2.38,2,3,0,14840,"Aiyuk, Brandon",SFO,WR,Active,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/avzzxycxyculxxqce5k7",1998-03-17,11,2020,2020,1,25,25,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/SF.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/SF.png,#AA0000,#B3995D,2026 B/R,NA,NA,Ineligible: 2+ current contract years; Signed 2026 B/R; next eligible EXT is 2027 oEXT,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,29.7,5YO-,WR,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,iEXT,B/R,TRUE,2027,oEXT,4,NA,NA,NA,NA,WR,6,6,6,WR,16,23,16,NA,NA,NA,NA,NA,NA,NA,2023,WR,6,6,6,15,2022,WR,16,23,16,16,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Allen, CJ IND LB",1.98,4,2,0,17558,"Allen, CJ",IND,LB,Active,https://a.espncdn.com/i/headshots/nfl/players/full/4870598.png,2005-03-01,NA,2026,2026,2,21,53,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/IND.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/IND.png,#002C5F,#a5acaf,2026 2.07,NA,NA,Ineligible: 2+ current contract years; no Robust PRs,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,8.7,5YO-,LB,NA,NA,NA,NA,NA,NA,NA,Drafted rookie,4,FALSE,iEXT,NA,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Beck, Carson ARI QB",1.13,4,2,0,17466,"Beck, Carson",ARI,QB,Active,https://a.espncdn.com/i/headshots/nfl/players/full/4430841.png,2002-11-19,19,2026,2026,3,1,65,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/ARI.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/ARI.png,#97233F,#000000,2026 4.02,NA,NA,Ineligible: 2+ current contract years; no Robust PRs,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,26.69,5YO-,QB,NA,NA,NA,NA,NA,NA,NA,Drafted rookie,4,FALSE,iEXT,NA,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Brown, Ji'Ayir SFO S",1.1,1,3,0,16281,"Brown, Ji'Ayir",SFO,S,Taxi,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gmgewszcsvxdb63dmqby",2000-01-25,27,2023,2023,3,24,87,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/SF.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/SF.png,#AA0000,#B3995D,2026 ERFA,NA,NA,Likely EXT eligible,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,7.4,5YO-,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,iEXT,NA,FALSE,NA,NA,3,NA,NA,NA,NA,S,41,59,41,S,47,66,47,NA,NA,NA,NA,NA,NA,NA,2025,S,41,59,41,16,2024,S,47,66,47,16,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Bryant, Pat DEN WR",1.09,3,3,0,17082,"Bryant, Pat",DEN,WR,Active,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ljo1rgbaewlzsf7tvavm",2002-12-10,13,2025,2025,3,10,74,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/DEN.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/DEN.png,#002244,#FB4F14,2025 4.12,NA,NA,Ineligible: 2+ current contract years,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,29.7,5YO-,WR,NA,NA,NA,NA,NA,NA,NA,Drafted rookie,3,FALSE,iEXT,NA,FALSE,NA,NA,1,NA,NA,NA,NA,WR,83,93,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,WR,83,93,83,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Butker, Harrison KCC PK",1.1,1,3,0,13354,"Butker, Harrison",KCC,PK,Taxi,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ove4pmnrtqtuyta6rrlc",1995-07-14,7,2017,2017,7,15,233,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/KC.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/KC.png,#E31837,#FFB612,2026 UFA,NA,NA,Likely EXT eligible,FALSE,FALSE,Rookie Contract Expired; PK and PN are 5YO ineligible,FALSE,FALSE,FALSE,FALSE,2.09,5YO-,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,iEXT,NA,FALSE,NA,NA,9,NA,NA,NA,NA,PK,16,20,16,PK,27,27.5,27,NA,NA,NA,NA,NA,NA,NA,2025,PK,16,20,16,16,2024,PK,27,27.5,27,12,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Cashman, Blake MIN LB",6.7,1,3,0,14251,"Cashman, Blake",MIN,LB,Active,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mvui8tjkoewkupyncbok",1996-05-10,51,2019,2019,5,19,157,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/MIN.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/MIN.png,#4F2683,#FFC62F,2026 UFA,NA,NA,Likely EXT eligible,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,8.7,5YO-,LB,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,iEXT,NA,FALSE,NA,NA,4,NA,NA,NA,NA,LB,37.5,19,19,LB,20,10,10,NA,NA,NA,NA,NA,NA,NA,2025,LB,37.5,19,19,12,2024,LB,20,10,10,13,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Chinn, Jeremy LVR S",5.01,2,3,0,14927,"Chinn, Jeremy",LVR,S,Active,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qdvollzto5i4xs6q9gov",1998-02-26,11,2020,2020,2,32,64,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/LV.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LV.png,#000000,#A5ACAF,2026 oEXT,NA,NA,Ineligible: 2+ current contract years; Signed 2026 oEXT; next eligible EXT is 2027 oEXT,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,7.4,5YO-,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,iEXT,oEXT,TRUE,2027,oEXT,6,NA,NA,NA,NA,S,25,30,25,S,17,28,17,NA,NA,NA,NA,NA,NA,NA,2025,S,25,30,25,15,2024,S,17,28,17,16,NA,NA,NA,NA,NA,NA
AFC,BAL,Baltimore Ravens,"Chubb, Bradley BUF DE",3.75,1,3,0,13681,"Chubb, Bradley",BUF,DE,Active,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u0hpsvirbf0ksqqrr4of",1996-06-24,9,2018,2018,1,5,5,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/BUF.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/BUF.png,#00338D,#C60C30,2025 ORFA1,NA,NA,Likely EXT eligible,FALSE,FALSE,Rookie Contract Expired,FALSE,FALSE,TRUE,FALSE,15.57,5YO-,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,iEXT,NA,FALSE,NA,NA,5,NA,NA,NA,NA,DE,28,36,28,DE,5,6,5,NA,NA,NA,NA,NA,NA,NA,2025,DE,28,36,28,16,2023,DE,5,6,5,16,NA,NA,NA,NA,NA,NA
