player_id,robust_pr_count,pr_current_season,pr_current_pos,pr_current_total,pr_current_avg,pr_current_final,pr_current_gp,pr_current_robust,pr_recent_season,pr_recent_pos,pr_recent_total,pr_recent_avg,pr_recent_final,pr_recent_gp,pr_previous_season,pr_previous_pos,pr_previous_total,pr_previous_avg,pr_previous_final,pr_previous_gp
16728,NA,2026,CB,1,1,1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15124,NA,2026,CB,2,2,2,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14669,NA,2026,CB,3,3,3,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17573,NA,2026,CB,4,4,4,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15895,NA,2026,CB,5,5,5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13223,NA,2026,CB,6,6,6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17622,NA,2026,CB,7,7,7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15989,NA,2026,CB,8.5,8.5,8.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13774,NA,2026,CB,8.5,8.5,8.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17624,NA,2026,CB,10.5,10.5,10.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15849,NA,2026,CB,10.5,10.5,10.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15845,NA,2026,CB,12,12,12,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12711,NA,2026,CB,13,13,13,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14180,NA,2026,CB,14,14,14,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16255,NA,2026,CB,15.5,15.5,15.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17562,NA,2026,CB,15.5,15.5,15.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16702,NA,2026,CB,17,17,17,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15888,NA,2026,CB,18,18,18,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16670,NA,2026,CB,19,19,19,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14219,NA,2026,CB,20.5,20.5,20.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13731,NA,2026,CB,20.5,20.5,20.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14037,NA,2026,CB,22,22,22,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13707,NA,2026,CB,23,23,23,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16731,NA,2026,CB,24.5,24.5,24.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17164,NA,2026,CB,24.5,24.5,24.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
