season,player_id,player_name,pos,gp,total_points,ppg,pr_total,pr_avg,pr_final,robust_pr
2026,16728,"Pritchett, Nehemiah",CB,1,27.5,27.5,1,1,1,FALSE
2026,15124,"Pierre, James",CB,1,25,25,2,2,2,FALSE
2026,14669,"Nixon, Keisean",CB,1,24.9,24.9,3,3,3,FALSE
2026,17573,"Johnson, Chris",CB,1,22,22,4,4,4,FALSE
2026,15895,"McCollum, Zyon",CB,1,20.6,20.6,5,5,5,FALSE
2026,13223,"Humphrey, Marlon",CB,1,19.6,19.6,6,6,6,FALSE
2026,17622,"Muhammad, Malik",CB,1,19.4,19.4,7,7,7,FALSE
2026,15989,"Jobe, Josh",CB,1,15.4,15.4,8.5,8.5,8.5,FALSE
2026,13774,"Reed, D.J.",CB,1,15.4,15.4,8.5,8.5,8.5,FALSE
2026,17624,"Lee, Will",CB,1,15,15,10.5,10.5,10.5,FALSE
2026,15849,"McCreary, Roger",CB,1,15,15,10.5,10.5,10.5,FALSE
2026,15845,"McDuffie, Trent",CB,1,14.8,14.8,12,12,12,FALSE
2026,12711,"Ramsey, Jalen",CB,1,14.6,14.6,13,13,13,FALSE
2026,14180,"Murphy, Byron",CB,1,13.4,13.4,14,14,14,FALSE
2026,16255,"Banks, Deonte",CB,1,12.8,12.8,15.5,15.5,15.5,FALSE
2026,17562,"Delane, Mansoor",CB,1,12.8,12.8,15.5,15.5,15.5,FALSE
2026,16702,"Green, Renardo",CB,1,12.5,12.5,17,17,17,FALSE
2026,15888,"Durant, Decobie",CB,1,12.2,12.2,18,18,18,FALSE
2026,16670,"McKinstry, Kool-Aid",CB,1,11.8,11.8,19,19,19,FALSE
2026,14219,"Dean, Jamel",CB,1,11.6,11.6,20.5,20.5,20.5,FALSE
2026,13731,"Hughes, Mike",CB,1,11.6,11.6,20.5,20.5,20.5,FALSE
2026,14037,"Davis, Jalen",CB,1,11.4,11.4,22,22,22,FALSE
2026,13707,"Ward, Denzel",CB,1,11.2,11.2,23,23,23,FALSE
2026,16731,"Hart, Cam",CB,1,11,11,24.5,24.5,24.5,FALSE
2026,17164,"Williams, Nohl",CB,1,11,11,24.5,24.5,24.5,FALSE
2026,17129,"Morrison, Benjamin",CB,1,10.8,10.8,27,27,27,FALSE
2026,16279,"Moss, Riley",CB,1,10.8,10.8,27,27,27,FALSE
2026,15832,"Stingley Jr., Derek",CB,1,10.8,10.8,27,27,27,FALSE
2026,16251,"Gonzalez, Christian",CB,1,10.4,10.4,29,29,29,FALSE
2026,16267,"Stevenson, Tyrique",CB,1,10.2,10.2,30,30,30,FALSE
2026,17156,"Porter, Darien",CB,1,10,10,31,31,31,FALSE
2026,17127,"Johnson, Will",CB,1,9.4,9.4,32,32,32,FALSE
2026,14924,"Johnson, Jaylon",CB,1,9.2,9.2,33,33,33,FALSE
2026,16675,"DeJean, Cooper",CB,1,9.1,9.1,34,34,34,FALSE
2026,15904,"Bland, DaRon",CB,1,8.6,8.6,35.5,35.5,35.5,FALSE
2026,16673,"Wiggins, Nate",CB,1,8.6,8.6,35.5,35.5,35.5,FALSE
2026,15836,"Hill, Daxton",CB,1,8.4,8.4,37,37,37,FALSE
2026,14956,"Sneed, L'Jarius",CB,1,8.2,8.2,38,38,38,FALSE
2026,17221,"Harris, Marcus",CB,1,8,8,39.5,39.5,39.5,FALSE
2026,15881,"Jones, Jack",CB,1,8,8,39.5,39.5,39.5,FALSE
2026,16698,"Sainristil, Mike",CB,1,7.8,7.8,41.5,41.5,41.5,FALSE
2026,17143,"Thomas, Azareye'h",CB,1,7.8,7.8,41.5,41.5,41.5,FALSE
2026,15933,"Brown, Montaric",CB,1,7.6,7.6,43.5,43.5,43.5,FALSE
2026,15380,"Campbell, Tyson",CB,1,7.6,7.6,43.5,43.5,43.5,FALSE
2026,13785,"Neal, Siran",CB,1,7.2,7.2,45,45,45,FALSE
2026,17162,"Walley, Justin",CB,1,7,7,46,46,46,FALSE
2026,14957,"Robertson, Amik",CB,1,6.6,6.6,47,47,47,FALSE
2026,16241,"Witherspoon, Devon",CB,1,6.5,6.5,48,48,48,FALSE
2026,17200,"Marshall, Jason",CB,1,6.4,6.4,49.5,49.5,49.5,FALSE
2026,17163,"Parrish, Jacob",CB,1,6.4,6.4,49.5,49.5,49.5,FALSE
2026,17142,"Revel, Shavon",CB,1,5.8,5.8,51,51,51,FALSE
2026,15445,"Lenoir, Deommodore",CB,1,5.4,5.4,52,52,52,FALSE
2026,17581,"Cisse, Brandon",CB,1,5.2,5.2,55,55,55,FALSE
2026,13281,"Douglas, Rasul",CB,1,5.2,5.2,55,55,55,FALSE
2026,14905,"Henderson, CJ",CB,1,5.2,5.2,55,55,55,FALSE
2026,13764,"Johnson, Taron",CB,1,5.2,5.2,55,55,55,FALSE
2026,16145,"McMillian, Ja'Quan",CB,1,5.2,5.2,55,55,55,FALSE
2026,17592,"Igbinosun, Davison",CB,1,5,5,58.5,58.5,58.5,FALSE
2026,16754,"Stiggers, Qwan'tez",CB,1,5,5,58.5,58.5,58.5,FALSE
2026,17128,"Barron, Jahdae",CB,1,4.8,4.8,61,61,61,FALSE
2026,17187,"Riley, Quincy",CB,1,4.8,4.8,61,61,61,FALSE
2026,17616,"Scott, Keionte",CB,1,4.8,4.8,61,61,61,FALSE
2026,16736,"Brownlee, Jarvis",CB,1,4.6,4.6,64.5,64.5,64.5,FALSE
2026,15868,"Jones, Marcus",CB,1,4.6,4.6,64.5,64.5,64.5,FALSE
2026,15856,"Taylor, Alontae",CB,1,4.6,4.6,64.5,64.5,64.5,FALSE
2026,16268,"Turner, DJ",CB,1,4.6,4.6,64.5,64.5,64.5,FALSE
2026,17639,"Abney, Keith",CB,1,4.4,4.4,67.5,67.5,67.5,FALSE
2026,15950,"Watson, Jaylen",CB,1,4.4,4.4,67.5,67.5,67.5,FALSE
2026,16325,"Clark, Kei'Trel",CB,1,4,4,69,69,69,FALSE
2026,14012,"Ford, Mike",CB,1,3.9,3.9,70.5,70.5,70.5,FALSE
2026,17169,"Stout, Upton",CB,1,3.9,3.9,70.5,70.5,70.5,FALSE
2026,15394,"Adebo, Paulson",CB,1,3.6,3.6,73,73,73,FALSE
2026,15866,"Flott, Cordale",CB,1,3.6,3.6,73,73,73,FALSE
2026,14997,"Rodgers, Isaiah",CB,1,3.6,3.6,73,73,73,FALSE
2026,14198,"Ya-Sin, Rock",CB,1,3.5,3.5,75,75,75,FALSE
2026,13710,"Davis, Carlton",CB,1,3.4,3.4,77,77,77,FALSE
2026,17141,"Hairston, Maxwell",CB,1,3.4,3.4,77,77,77,FALSE
2026,15361,"Horn, Jaycee",CB,1,3.4,3.4,77,77,77,FALSE
2026,13227,"Lewis, Jourdan",CB,1,3.2,3.2,80,80,80,FALSE
2026,16729,"Still, Tarheeb",CB,1,3.2,3.2,80,80,80,FALSE
2026,15362,"Surtain II, Patrick",CB,1,3.2,3.2,80,80,80,FALSE
2026,17653,"Masses, Hezekiah",CB,1,2.8,2.8,82,82,82,FALSE
2026,16261,"Brents, Julius",CB,1,2.6,2.6,83,83,83,FALSE
2026,14252,"Jackson, Michael",CB,1,2.4,2.4,86.5,86.5,86.5,FALSE
2026,17376,"Knowles, Kevin",CB,1,2.4,2.4,86.5,86.5,86.5,FALSE
2026,17368,"Martin, Keyon",CB,1,2.4,2.4,86.5,86.5,86.5,FALSE
2026,16690,"Mitchell, Quinyon",CB,1,2.4,2.4,86.5,86.5,86.5,FALSE
2026,15377,"Stokes, Eric",CB,1,2.4,2.4,86.5,86.5,86.5,FALSE
2026,13920,"Ward, Charvarius",CB,1,2.4,2.4,86.5,86.5,86.5,FALSE
2026,15129,"Dorsey, Khalil",CB,1,2.2,2.2,91.5,91.5,91.5,FALSE
2026,15862,"Emerson, Martin",CB,1,2.2,2.2,91.5,91.5,91.5,FALSE
2026,16784,"Harden, Myles",CB,1,2.2,2.2,91.5,91.5,91.5,FALSE
2026,17251,"Robinson, Micah",CB,1,2.2,2.2,91.5,91.5,91.5,FALSE
2026,14918,"Terrell, A.J.",CB,1,2.1,2.1,94,94,94,FALSE
2026,15913,"Benford, Christian",CB,1,2,2,95,95,95,FALSE
2026,16672,"Lassiter, Kamari",CB,1,1.8,1.8,96,96,96,FALSE
2026,16695,"Melton, Max",CB,1,1.3,1.3,97,97,97,FALSE
2026,16054,"Blackwell, Josh",CB,1,1.2,1.2,103.5,103.5,103.5,FALSE
2026,15432,"Carter, Michael",CB,1,1.2,1.2,103.5,103.5,103.5,FALSE
2026,17604,"Everette, Daylen",CB,1,1.2,1.2,103.5,103.5,103.5,FALSE
2026,14904,"Fulton, Kristian",CB,1,1.2,1.2,103.5,103.5,103.5,FALSE
2026,15833,"Gardner, Sauce",CB,1,1.2,1.2,103.5,103.5,103.5,FALSE
2026,16776,"Hadden, Kamal",CB,1,1.2,1.2,103.5,103.5,103.5,FALSE
2026,17168,"Smith, Jaylin",CB,1,1.2,1.2,103.5,103.5,103.5,FALSE
2026,13811,"Smith, Tremon",CB,1,1.2,1.2,103.5,103.5,103.5,FALSE
2026,15392,"St-Juste, Benjamin",CB,1,1.2,1.2,103.5,103.5,103.5,FALSE
2026,17572,"Terrell, Avieon",CB,1,1.2,1.2,103.5,103.5,103.5,FALSE
2026,15894,"Woolen, Tariq",CB,1,1.2,1.2,103.5,103.5,103.5,FALSE
2026,15401,"Wright, Nahshon",CB,1,1.2,1.2,103.5,103.5,103.5,FALSE
2026,16720,"Richardson, Decamerion",CB,1,1,1,111,111,111,FALSE
2026,16741,"Smith-Wade, Chau",CB,1,1,1,111,111,111,FALSE
2026,16726,"Tampa, T.J.",CB,1,1,1,111,111,111,FALSE
2026,16012,"Alford, Dee",CB,1,0.8,0.8,113,113,113,FALSE
2026,17214,"Burke, Denzel",CB,1,0.7,0.7,114,114,114,FALSE
2026,16735,"Abrams-Draine, Kris",CB,1,0,0,126,126,126,FALSE
2026,13263,"Awuzie, Chidobe",CB,1,0,0,126,126,126,FALSE
2026,16288,"Blackmon, Mekhi",CB,1,0,0,126,126,126,FALSE
2026,16336,"Braswell, Christian",CB,1,0,0,126,126,126,FALSE
2026,17643,"Demmings, Charles",CB,1,0,0,126,126,126,FALSE
2026,15464,"Echols, Brandin",CB,1,0,0,126,126,126,FALSE
2026,15880,"Evans, Akayleb",CB,1,0,0,126,126,126,FALSE
2026,16253,"Forbes, Emmanuel",CB,1,0,0,126,126,126,FALSE
2026,17574,"Hood, Colton",CB,1,0,0,126,126,126,FALSE
2026,16366,"Ivey, DJ",CB,1,0,0,126,126,126,FALSE
2026,16714,"Jones, Jarrian",CB,1,0,0,126,126,126,FALSE
2026,12988,"Jones, Jonathan",CB,1,0,0,126,126,126,FALSE
2026,17197,"McWilliams, Mac",CB,1,0,0,126,126,126,FALSE
2026,13270,"Moreau, Fabian",CB,1,0,0,126,126,126,FALSE
2026,17609,"Neal, Julian",CB,1,0,0,126,126,126,FALSE
2026,16293,"Phillips, Clark",CB,1,0,0,126,126,126,FALSE
2026,16242,"Ringo, Kelee",CB,1,0,0,126,126,126,FALSE
2026,16907,"Roland-Wallace, Chris",CB,1,0,0,126,126,126,FALSE
2026,17751,"Smith, Avery",CB,1,0,0,126,126,126,FALSE
2026,16345,"Speed, Ameer",CB,1,0,0,126,126,126,FALSE
2026,15405,"Stephens, Brandon",CB,1,0,0,126,126,126,FALSE
2026,16356,"Valentine, Carrington",CB,1,0,0,126,126,126,FALSE
2026,16954,"Wallace, Josh",CB,1,0,0,126,126,126,FALSE
