salary_source,position,rank,player,conference,salary
Jul1 Sal,QB,-1.0,,,43.44
Jul1 Sal,QB,0.0,,,43.29
Jul1 Sal,QB,1.0,"Jackson, Lamar BAL QB",AFC,43.14
Jul1 Sal,QB,2.0,"Allen, Josh BUF QB",AFC,41.7
Jul1 Sal,QB,3.0,"Mahomes, Patrick KCC QB",NFC,41.48
Jul1 Sal,QB,4.0,"Hurts, Jalen PHI QB",AFC,41.47
Jul1 Sal,QB,5.0,"Mahomes, Patrick KCC QB",AFC,41.47
Jul1 Sal,QB,6.0,"Prescott, Dak DAL QB",AFC,40.93
Jul1 Sal,QB,7.0,"Jackson, Lamar BAL QB",NFC,37.58
Jul1 Sal,QB,8.0,"Purdy, Brock SFO QB",AFC,37.58
Jul1 Sal,QB,9.0,"Purdy, Brock SFO QB",NFC,32.78
Jul1 Sal,QB,10.0,"Burrow, Joe CIN QB",AFC,27.27
Jul1 Sal,QB,11.0,"Allen, Josh BUF QB",NFC,27.24
Jul1 Sal,QB,12.0,"Goff, Jared DET QB",AFC,26.98
Jul1 Sal,QB,13.0,"Burrow, Joe CIN QB",NFC,26.97
Jul1 Sal,QB,14.0,"Hurts, Jalen PHI QB",NFC,25.87
Jul1 Sal,QB,15.0,"Prescott, Dak DAL QB",NFC,25.5
Jul1 Sal,QB,16.0,"Darnold, Sam SEA QB",NFC,24.98
Jul1 Sal,QB,17.0,"Murray, Kyler MIN QB",NFC,24.4
Jul1 Sal,QB,18.0,"Mayfield, Baker TBB QB",AFC,22.96
Jul1 Sal,QB,19.0,"Goff, Jared DET QB",NFC,20.57
Jul1 Sal,QB,20.0,"Tagovailoa, Tua ATL QB",AFC,20.49
Jul1 Sal,QB,21.0,"Lawrence, Trevor JAC QB",NFC,18.84
Jul1 Sal,QB,22.0,"Herbert, Justin LAC QB",NFC,16.65
Jul1 Sal,QB,23.0,"Herbert, Justin LAC QB",AFC,15.59
Jul1 Sal,QB,24.0,"Lawrence, Trevor JAC QB",AFC,14.95
Jul1 Sal,QB,25.0,"Mayfield, Baker TBB QB",NFC,14.88
Jul1 Sal,QB,26.0,"Stafford, Matthew LAR QB",NFC,14.18
Jul1 Sal,QB,27.0,"Darnold, Sam SEA QB",AFC,13.95
Jul1 Sal,QB,28.0,"Murray, Kyler MIN QB",AFC,13.5
Jul1 Sal,QB,29.0,"Brissett, Jacoby ARI QB",NFC,12.66
Jul1 Sal,QB,30.0,"Jones, Daniel IND QB",NFC,11.88
Jul1 Sal,QB,31.0,"Mendoza, Fernando LVR QB",NFC,11.67
Jul1 Sal,QB,32.0,"Love, Jordan GBP QB",NFC,11.53
Jul1 Sal,QB,33.0,"Love, Jordan GBP QB",AFC,11.5
Jul1 Sal,QB,34.0,"Richardson, Anthony IND QB",NFC,10.93
Jul1 Sal,QB,35.0,"Fields, Justin KCC QB",NFC,10.71
Jul1 Sal,QB,36.0,"Stafford, Matthew LAR QB",AFC,10.66
Jul1 Sal,QB,37.0,"Willis, Malik MIA QB",AFC,10.1
Jul1 Sal,QB,38.0,"Williams, Caleb CHI QB",AFC,9.67
Jul1 Sal,QB,39.0,"Richardson, Anthony IND QB",AFC,9.22
Jul1 Sal,QB,40.0,"Rodgers, Aaron PIT QB",NFC,8.7
Jul1 Sal,QB,41.0,"Smith, Geno NYJ QB",NFC,8.36
Jul1 Sal,QB,42.0,"Williams, Caleb CHI QB",NFC,8.15
Jul1 Sal,QB,43.0,"Willis, Malik MIA QB",NFC,8.0
Jul1 Sal,QB,44.0,"Young, Bryce CAR QB",AFC,7.93
Jul1 Sal,QB,45.0,"Mendoza, Fernando LVR QB",AFC,7.14
Jul1 Sal,QB,46.0,"Stroud, C.J. HOU QB",NFC,6.9
Jul1 Sal,QB,47.0,"Ward, Cam TEN QB",AFC,6.72
Jul1 Sal,QB,48.0,"Jones, Daniel IND QB",AFC,6.38
Jul1 Sal,QB,49.0,"Young, Bryce CAR QB",NFC,6.09
Jul1 Sal,QB,50.0,"Ward, Cam TEN QB",NFC,5.92
Jul1 Sal,QB,51.0,"Cousins, Kirk LVR QB",AFC,5.1
Jul1 Sal,QB,52.0,"Brissett, Jacoby ARI QB",AFC,5.0
Jul1 Sal,QB,53.0,"Daniels, Jayden WAS QB",AFC,4.87
Jul1 Sal,QB,54.0,"McCarthy, J.J. MIN QB",NFC,4.87
Jul1 Sal,QB,55.0,"Smith, Geno NYJ QB",AFC,4.7
Jul1 Sal,QB,56.0,"McCarthy, J.J. MIN QB",AFC,4.42
Jul1 Sal,QB,57.0,"Maye, Drake NEP QB",NFC,4.04
Jul1 Sal,QB,58.0,"Daniels, Jayden WAS QB",NFC,3.72
Jul1 Sal,QB,59.0,"Cousins, Kirk LVR QB",NFC,3.6
Jul1 Sal,QB,60.0,"Stroud, C.J. HOU QB",AFC,3.3
Jul1 Sal,QB,61.0,"Maye, Drake NEP QB",AFC,3.22
Jul1 Sal,QB,62.0,"Levis, Will TEN QB",AFC,2.93
Jul1 Sal,QB,63.0,"Simpson, Ty LAR QB",NFC,2.91
Jul1 Sal,QB,64.0,"Penix Jr., Michael ATL QB",NFC,2.86
Jul1 Sal,QB,65.0,"Simpson, Ty LAR QB",AFC,2.39
Jul1 Sal,QB,66.0,"Dart, Jaxson NYG QB",NFC,2.35
Jul1 Sal,QB,67.0,"Dart, Jaxson NYG QB",AFC,2.35
Jul1 Sal,QB,68.0,"Shough, Tyler NOS QB",AFC,2.25
Jul1 Sal,QB,69.0,"Rodgers, Aaron PIT QB",AFC,2.2
Jul1 Sal,QB,70.0,"Tagovailoa, Tua ATL QB",NFC,2.2
Jul1 Sal,QB,71.0,"Jones, Mac SFO QB",AFC,2.01
Jul1 Sal,QB,72.0,"Jones, Mac SFO QB",NFC,2.0
Jul1 Sal,QB,73.0,"Winston, Jameis NYG QB",AFC,2.0
Jul1 Sal,QB,74.0,"Fields, Justin KCC QB",AFC,1.9
Jul1 Sal,QB,75.0,"Nix, Bo DEN QB",AFC,1.81
Jul1 Sal,QB,76.0,"Nix, Bo DEN QB",NFC,1.69
Jul1 Sal,QB,77.0,"Penix Jr., Michael ATL QB",AFC,1.62
Jul1 Sal,QB,78.0,"Shough, Tyler NOS QB",NFC,1.35
Jul1 Sal,QB,79.0,"Milroe, Jalen SEA QB",AFC,1.29
Jul1 Sal,QB,80.0,"Sanders, Shedeur CLE QB",AFC,1.24
Jul1 Sal,QB,81.0,"Milroe, Jalen SEA QB",NFC,1.23
Jul1 Sal,QB,82.0,"O'Connell, Aidan LVR QB",AFC,1.21
Jul1 Sal,QB,83.0,"Allar, Drew PIT QB",AFC,1.18
Jul1 Sal,QB,84.0,"Sanders, Shedeur CLE QB",NFC,1.17
Jul1 Sal,QB,85.0,"Beck, Carson ARI QB",AFC,1.13
Jul1 Sal,QB,86.0,"Bagent, Tyson CHI QB",NFC,1.1
Jul1 Sal,QB,87.0,"Bridgewater, Teddy DET QB",AFC,1.1
Jul1 Sal,QB,88.0,"Cook, Brady NYJ QB",NFC,1.1
Jul1 Sal,QB,89.0,"Dalton, Andy PHI QB",NFC,1.1
Jul1 Sal,QB,90.0,"Ewers, Quinn MIA QB",NFC,1.1
Jul1 Sal,QB,91.0,"Flacco, Joe CIN QB",NFC,1.1
Jul1 Sal,QB,92.0,"Garoppolo, Jimmy LAR QB",AFC,1.1
Jul1 Sal,QB,93.0,"Huntley, Tyler BAL QB",NFC,1.1
Jul1 Sal,QB,94.0,"Lance, Trey LAC QB",NFC,1.1
Jul1 Sal,QB,95.0,"Leonard, Riley IND QB",AFC,1.1
Jul1 Sal,QB,96.0,"Levis, Will TEN QB",NFC,1.1
Jul1 Sal,QB,97.0,"Mariota, Marcus WAS QB",NFC,1.1
Jul1 Sal,QB,98.0,"McKee, Tanner PHI QB",NFC,1.1
Jul1 Sal,QB,99.0,"Mills, Davis HOU QB",NFC,1.1
Jul1 Sal,QB,100.0,"Milton, Joe DAL QB",NFC,1.1
Jul1 Sal,QB,101.0,"Milton, Joe DAL QB",AFC,1.1
Jul1 Sal,QB,102.0,"Minshew, Gardner ARI QB",NFC,1.1
Jul1 Sal,QB,103.0,"Minshew, Gardner ARI QB",AFC,1.1
Jul1 Sal,QB,104.0,"Rattler, Spencer NOS QB",NFC,1.1
Jul1 Sal,QB,105.0,"Watson, Deshaun CLE QB",NFC,1.1
Jul1 Sal,QB,106.0,"Watson, Deshaun CLE QB",AFC,1.1
Jul1 Sal,QB,107.0,"Wentz, Carson MIN QB",AFC,1.1
Jul1 Sal,QB,108.0,"Winston, Jameis NYG QB",NFC,1.1
Jul1 Sal,QB,109.0,"Howard, Will PIT QB",AFC,1.08
Jul1 Sal,QB,110.0,"Rattler, Spencer NOS QB",AFC,1.08
Jul1 Sal,QB,111.0,"Gabriel, Dillon CLE QB",NFC,1.07
Jul1 Sal,QB,112.0,"Beck, Carson ARI QB",NFC,1.06
Jul1 Sal,QB,113.0,"Gabriel, Dillon CLE QB",AFC,1.06
Jul1 Sal,QB,114.0,"Howard, Will PIT QB",NFC,1.06
Jul1 Sal,QB,115.0,"Klubnik, Cade NYJ QB",NFC,1.03
Jul1 Sal,QB,116.0,"Allar, Drew PIT QB",NFC,1.01
Jul1 Sal,QB,117.0,"Leonard, Riley IND QB",NFC,0.99
Jul1 Sal,QB,118.0,"Green, Taylen CLE QB",AFC,0.98
Jul1 Sal,QB,119.0,"Klubnik, Cade NYJ QB",AFC,0.98
Jul1 Sal,QB,120.0,"Payton, Cole PHI QB",AFC,0.98
Jul1 Sal,QB,121.0,"Green, Taylen CLE QB",NFC,0.94
Jul1 Sal,QB,122.0,"King, Haynes CAR QB",NFC,0.94
Jul1 Sal,QB,123.0,"Morton, Behren NEP QB",AFC,0.94
Jul1 Sal,QB,124.0,"Nussmeier, Garrett KCC QB",NFC,0.94
Jul1 Sal,QB,125.0,"Nussmeier, Garrett KCC QB",AFC,0.94
Jul1 Sal,QB,126.0,"Pavia, Diego BAL QB",NFC,0.94
Jul1 Sal,QB,127.0,"Payton, Cole PHI QB",NFC,0.94
Jul1 Sal,RB,-1.0,,,34.03
Jul1 Sal,RB,0.0,,,33.57
Jul1 Sal,RB,1.0,"Barkley, Saquon PHI RB",AFC,33.1
Jul1 Sal,RB,2.0,"Barkley, Saquon PHI RB",NFC,31.35
Jul1 Sal,RB,3.0,"Williams, Javonte DAL RB",AFC,31.1
Jul1 Sal,RB,4.0,"Williams, Kyren LAR RB",AFC,30.2
Jul1 Sal,RB,5.0,"McCaffrey, Christian SFO RB",NFC,30.0
Jul1 Sal,RB,6.0,"Henry, Derrick BAL RB",NFC,22.8
Jul1 Sal,RB,7.0,"Jacobs, Josh GBP RB",NFC,21.2
Jul1 Sal,RB,8.0,"Henry, Derrick BAL RB",AFC,20.33
Jul1 Sal,RB,9.0,"Taylor, Jonathan IND RB",NFC,19.36
Jul1 Sal,RB,10.0,"Taylor, Jonathan IND RB",AFC,18.67
Jul1 Sal,RB,11.0,"Montgomery, David HOU RB",NFC,17.1
Jul1 Sal,RB,12.0,"Montgomery, David HOU RB",AFC,17.03
Jul1 Sal,RB,13.0,"Cook, James BUF RB",AFC,16.87
Jul1 Sal,RB,14.0,"Kamara, Alvin NOS RB",NFC,16.72
Jul1 Sal,RB,15.0,"McCaffrey, Christian SFO RB",AFC,15.68
Jul1 Sal,RB,16.0,"Hall, Breece NYJ RB",AFC,15.12
Jul1 Sal,RB,17.0,"Pollard, Tony TEN RB",AFC,15.1
Jul1 Sal,RB,18.0,"Etienne, Travis NOS RB",AFC,14.48
Jul1 Sal,RB,19.0,"Jacobs, Josh GBP RB",AFC,14.27
Jul1 Sal,RB,20.0,"Cook, James BUF RB",NFC,13.73
Jul1 Sal,RB,21.0,"Swift, D'Andre CHI RB",NFC,13.07
Jul1 Sal,RB,22.0,"Williams, Javonte DAL RB",NFC,12.42
Jul1 Sal,RB,23.0,"Love, Jeremiyah ARI RB",AFC,11.67
Jul1 Sal,RB,24.0,"Hall, Breece NYJ RB",NFC,11.3
Jul1 Sal,RB,25.0,"Walker III, Kenneth KCC RB",AFC,10.99
Jul1 Sal,RB,26.0,"Robinson, Bijan ATL RB",AFC,10.93
Jul1 Sal,RB,27.0,"Jeanty, Ashton LVR RB",NFC,10.8
Jul1 Sal,RB,28.0,"Jeanty, Ashton LVR RB",AFC,10.8
Jul1 Sal,RB,29.0,"Walker III, Kenneth KCC RB",NFC,10.8
Jul1 Sal,RB,30.0,"Dobbins, J.K. DEN RB",AFC,10.08
Jul1 Sal,RB,31.0,"Jones, Aaron MIN RB",AFC,10.0
Jul1 Sal,RB,32.0,"Warren, Jaylen PIT RB",NFC,9.99
Jul1 Sal,RB,33.0,"Love, Jeremiyah ARI RB",NFC,9.73
Jul1 Sal,RB,34.0,"Brown, Chase CIN RB",AFC,9.71
Jul1 Sal,RB,35.0,"Gainwell, Kenneth TBB RB",AFC,9.6
Jul1 Sal,RB,36.0,"Robinson, Bijan ATL RB",NFC,9.22
Jul1 Sal,RB,37.0,"Hubbard, Chuba CAR RB",AFC,9.12
Jul1 Sal,RB,38.0,"Hampton, Omarion LAC RB",NFC,9.05
Jul1 Sal,RB,39.0,"Mason, Jordan MIN RB",NFC,8.36
Jul1 Sal,RB,40.0,"Price, Jadarian SEA RB",AFC,8.26
