"conference","player_id","prior_accrued_seasons"
"AFC","10266","9"
"AFC","10267","0"
"AFC","10292","9"
"AFC","10700","10"
"AFC","10768","10"
"AFC","10775","10"
"AFC","10783","10"
"AFC","10816","10"
"AFC","10945","0"
"AFC","11150","5"
"AFC","11222","10"
"AFC","11244","10"
"AFC","11383","0"
"AFC","11640","0"
"AFC","11671","10"
"AFC","11675","10"
"AFC","11721","10"
"AFC","11757","0"
"AFC","11760","9"
"AFC","11769","10"
"AFC","11936","9"
"AFC","11945","0"
"AFC","11947","9"
"AFC","12140","10"
"AFC","12186","10"
"AFC","12218","8"
"AFC","12221","10"
"AFC","12225","10"
"AFC","12231","0"
"AFC","12238","10"
"AFC","12437","7"
"AFC","12610","0"
"AFC","12611","10"
"AFC","12616","5"
"AFC","12620","10"
"AFC","12626","10"
"AFC","12676","10"
"AFC","12678","0"
"AFC","12686","10"
"AFC","12688","10"
"AFC","12697","9"
"AFC","12711","10"
"AFC","12739","10"
"AFC","12741","10"
"AFC","12752","10"
"AFC","12754","0"
"AFC","12764","10"
"AFC","12772","4"
"AFC","12782","7"
"AFC","12785","0"
"AFC","12801","10"
"AFC","12831","0"
"AFC","12842","0"
"AFC","12860","8"
"AFC","12956","0"
"AFC","13066","0"
"AFC","13113","0"
"AFC","13116","9"
"AFC","13130","9"
"AFC","13132","9"
"AFC","13133","7"
"AFC","13138","9"
"AFC","13146","8"
"AFC","13163","9"
"AFC","13164","9"
"AFC","13172","4"
"AFC","13189","9"
"AFC","13192","9"
"AFC","13198","9"
"AFC","13208","9"
"AFC","13214","9"
"AFC","13223","9"
"AFC","13226","0"
"AFC","13227","0"
"AFC","13228","0"
"AFC","13251","9"
"AFC","13260","0"
"AFC","13268","8"
"AFC","13284","8"
"AFC","13289","5"
"AFC","13298","6"
"AFC","13299","9"
"AFC","13303","8"
"AFC","13307","0"
"AFC","13319","9"
"AFC","13332","6"
"AFC","13347","0"
"AFC","13354","0"
"AFC","13418","0"
"AFC","13431","5"
"AFC","13447","5"
"AFC","13448","3"
"AFC","13470","8"
"AFC","13589","8"
"AFC","13590","8"
"AFC","13592","8"
"AFC","13593","8"
"AFC","13604","8"
"AFC","13629","7"
"AFC","13630","8"
"AFC","13633","8"
"AFC","13635","8"
"AFC","13671","8"
"AFC","13672","8"
"AFC","13674","8"
"AFC","13681","8"
"AFC","13682","0"
"AFC","13690","7"
"AFC","13692","8"
"AFC","13693","5"
"AFC","13696","8"
"AFC","13697","8"
"AFC","13700","8"
"AFC","13704","0"
"AFC","13710","8"
"AFC","13713","8"
"AFC","13714","8"
"AFC","13717","8"
"AFC","13719","5"
"AFC","13723","8"
"AFC","13737","8"
"AFC","13738","7"
"AFC","13742","8"
"AFC","13743","8"
"AFC","13744","0"
"AFC","13748","6"
"AFC","13759","4"
"AFC","13770","5"
"AFC","13772","6"
"AFC","13774","6"
"AFC","13782","8"
"AFC","13791","0"
"AFC","13806","6"
"AFC","13813","8"
"AFC","13832","0"
"AFC","13837","5"
"AFC","13839","6"
"AFC","13844","8"
"AFC","13869","7"
"AFC","13920","6"
"AFC","13933","6"
"AFC","13952","4"
"AFC","13987","4"
"AFC","14056","7"
"AFC","14059","7"
"AFC","14067","0"
"AFC","14071","7"
"AFC","14073","7"
"AFC","14080","7"
"AFC","14085","7"
"AFC","14086","5"
"AFC","14095","0"
"AFC","14102","7"
"AFC","14104","7"
"AFC","14105","7"
"AFC","14109","7"
"AFC","14122","7"
"AFC","14127","7"
"AFC","14136","7"
"AFC","14138","7"
"AFC","14143","0"
"AFC","14147","7"
"AFC","14148","7"
"AFC","14149","7"
"AFC","14153","7"
"AFC","14157","7"
"AFC","14158","7"
"AFC","14159","7"
"AFC","14162","7"
"AFC","14163","7"
"AFC","14164","6"
"AFC","14167","7"
"AFC","14168","7"
"AFC","14169","5"
"AFC","14170","6"
"AFC","14171","7"
"AFC","14179","4"
"AFC","14180","7"
"AFC","14182","6"
"AFC","14205","0"
"AFC","14210","7"
"AFC","14213","2"
"AFC","14215","4"
"AFC","14217","5"
"AFC","14218","7"
"AFC","14219","5"
"AFC","14221","7"
"AFC","14224","7"
"AFC","14225","7"
"AFC","14235","7"
"AFC","14247","7"
"AFC","14249","5"
"AFC","14251","7"
"AFC","14252","2"
"AFC","14256","0"
"AFC","14257","0"
"AFC","14270","0"
"AFC","14302","3"
"AFC","14303","3"
"AFC","14322","6"
"AFC","14405","3"
"AFC","14412","6"
"AFC","14472","3"
"AFC","14518","6"
"AFC","14590","4"
"AFC","14630","7"
"AFC","14669","2"
"AFC","14717","4"
"AFC","14777","6"
"AFC","14778","6"
"AFC","14779","6"
"AFC","14782","6"
"AFC","14783","6"
"AFC","14797","6"
"AFC","14800","6"
"AFC","14802","6"
"AFC","14823","3"
"AFC","14832","6"
"AFC","14833","6"
"AFC","14835","6"
"AFC","14836","6"
"AFC","14840","6"
"AFC","14842","6"
"AFC","14860","2"
"AFC","14861","5"
"AFC","14867","6"
"AFC","14871","0"
"AFC","14877","6"
"AFC","14879","5"
"AFC","14882","6"
"AFC","14888","3"
"AFC","14892","6"
