week,franchise_id,franchise_score,offense_points,defense_points,potential_points,franchise_name,division,conference,season,total_points
1,0013,191.1,118.89999999999999,72.2,243.29999999999998,Arizona Cardinals,03,00,2026,191.1
1,0009,144.7,62.4,82.3,231.7,Atlanta Falcons,02,00,2026,144.7
1,0021,265,98.2,166.8,336.6,Baltimore Ravens,05,01,2026,265
1,0017,179.8,100.9,78.9,277.9,Buffalo Bills,04,01,2026,179.8
1,0010,211.4,126.8,84.6,292,Carolina Panthers,02,00,2026,211.39999999999998
1,0005,226.9,114.8,112.1,322.8,Chicago Bears,01,00,2026,226.89999999999998
1,0022,208.6,128.9,79.7,280.40000000000003,Cincinnati Bengals,05,01,2026,208.60000000000002
1,0023,194.6,98.2,96.4,242.2,Cleveland Browns,05,01,2026,194.60000000000002
1,0001,209.3,105.3,104,289,Dallas Cowboys,00,00,2026,209.3
1,0029,216.6,119.1,97.5,242.1,Denver Broncos,07,01,2026,216.6
1,0006,187,95.9,91.1,205.3,Detroit Lions,01,00,2026,187
1,0007,175.1,81.8,93.3,286.40000000000003,Green Bay Packers,01,00,2026,175.1
1,0025,222.2,113.5,108.7,237,Houston Texans,06,01,2026,222.2
1,0026,204.8,101.2,103.60000000000001,281.5,Indianapolis Colts,06,01,2026,204.8
1,0027,204.8,138.1,66.7,257.1,Jacksonville Jaguars,06,01,2026,204.8
1,0030,212.4,108.2,104.2,301.8,Kansas City Chiefs,07,01,2026,212.4
1,0031,253.7,100.1,153.6,288.7,Las Vegas Raiders,07,01,2026,253.7
1,0032,126.4,38.6,87.8,225,Los Angeles Chargers,07,01,2026,126.4
1,0014,241.8,110.5,131.3,313.4,Los Angeles Rams,03,00,2026,241.8
1,0018,236.4,96.9,139.5,280.9,Miami Dolphins,04,01,2026,236.4
1,0008,180.5,46.3,134.2,223.5,Minnesota Vikings,01,00,2026,180.5
1,0019,203.2,96.5,106.7,269.7,New England Patriots,04,01,2026,203.2
1,0011,177.5,90,87.5,239.8,New Orleans Saints,02,00,2026,177.5
1,0002,218.5,109.1,109.39999999999999,257,New York Giants,00,00,2026,218.5
1,0020,155.5,77.3,78.2,198.2,New York Jets,04,01,2026,155.5
1,0003,212.7,92.4,120.3,282.90000000000003,Philadelphia Eagles,00,00,2026,212.7
1,0024,169,66.1,102.9,209.5,Pittsburgh Steelers,05,01,2026,169
1,0015,210.3,68.4,141.9,262.5,San Francisco 49ers,03,00,2026,210.3
1,0016,167.4,114.8,52.6,233.6,Seattle Seahawks,03,00,2026,167.4
1,0012,229.8,103.9,125.9,253.5,Tampa Bay Buccaneers,02,00,2026,229.8
1,0028,167.3,83.8,83.5,235.7,Tennessee Titans,06,01,2026,167.3
1,0004,218.5,115.3,103.2,300.3,Washington Commanders,00,00,2026,218.5
2,0013,183,92.9,90.1,273.3,Arizona Cardinals,03,00,2026,183
2,0009,187.2,57.800000000000004,129.4,250.7,Atlanta Falcons,02,00,2026,187.20000000000002
2,0021,194.7,76.3,118.4,289.3,Baltimore Ravens,05,01,2026,194.7
2,0017,145.9,69,76.9,254.4,Buffalo Bills,04,01,2026,145.9
2,0010,214.4,117.8,96.6,280.2,Carolina Panthers,02,00,2026,214.39999999999998
2,0005,247.9,131.79999999999998,116.1,301.4,Chicago Bears,01,00,2026,247.89999999999998
2,0022,152.4,31.4,121,219.3,Cincinnati Bengals,05,01,2026,152.4
2,0023,208.2,58.5,149.7,256,Cleveland Browns,05,01,2026,208.2
2,0001,170.1,86.7,83.4,249.4,Dallas Cowboys,00,00,2026,170.10000000000002
2,0029,182.7,76.2,106.5,225.9,Denver Broncos,07,01,2026,182.7
2,0006,208.6,130,78.6,241.8,Detroit Lions,01,00,2026,208.6
2,0007,161.1,40.800000000000004,120.3,297.2,Green Bay Packers,01,00,2026,161.1
2,0025,239,145.4,93.6,289,Houston Texans,06,01,2026,239
2,0026,198.6,59.8,138.8,255.29999999999998,Indianapolis Colts,06,01,2026,198.60000000000002
2,0027,195.7,120.6,75.1,250.4,Jacksonville Jaguars,06,01,2026,195.7
2,0030,150.6,43.4,107.2,282.7,Kansas City Chiefs,07,01,2026,150.6
2,0031,232.4,128.2,104.2,291.1,Las Vegas Raiders,07,01,2026,232.39999999999998
2,0032,167.5,92.7,74.8,227.4,Los Angeles Chargers,07,01,2026,167.5
2,0014,208.3,99.8,108.5,262,Los Angeles Rams,03,00,2026,208.3
2,0018,240.5,148.5,92,303.9,Miami Dolphins,04,01,2026,240.5
2,0008,193.6,117.7,75.9,270.8,Minnesota Vikings,01,00,2026,193.60000000000002
2,0019,166.1,61.6,104.5,217.2,New England Patriots,04,01,2026,166.1
2,0011,174.6,99.9,74.7,220.3,New Orleans Saints,02,00,2026,174.60000000000002
2,0002,144.9,65.1,79.8,215.2,New York Giants,00,00,2026,144.89999999999998
2,0020,262.3,189.1,73.2,301.8,New York Jets,04,01,2026,262.3
2,0003,201.9,96.5,105.4,266.9,Philadelphia Eagles,00,00,2026,201.9
2,0024,179.8,83.60000000000001,96.2,195.4,Pittsburgh Steelers,05,01,2026,179.8
2,0015,240.5,120.7,119.8,297.2,San Francisco 49ers,03,00,2026,240.5
2,0016,230.4,72.7,157.7,282.1,Seattle Seahawks,03,00,2026,230.39999999999998
2,0012,117.3,41.6,75.7,153.2,Tampa Bay Buccaneers,02,00,2026,117.30000000000001
2,0028,138.1,49,89.1,202.4,Tennessee Titans,06,01,2026,138.1
2,0004,257.9,147.8,110.1,286.5,Washington Commanders,00,00,2026,257.9
